engine,decision,seed,success,timed_out,failure,tile_kl,edge_kl,runtime_seconds,solve_seconds,conflicts,decisions,backtracks,restarts,error
WFC-as-SAT,context,17,True,False,False,0.45264654535004106,0.6552095107283273,3.4207338429999936,0.24742599999999992,5,373,5,0,
ordinary WFC,frequency,18,True,False,False,0.17549161764412982,1.6797266574755036,0.6451233020000018,,,378,0,0,
WFC-as-SAT,frequency,18,True,False,False,0.1978626197815141,1.6808800445904661,3.4131822410000154,0.3433440000000001,278,747,279,1,
ordinary WFC,context,18,True,False,False,0.29169987047462453,0.46303730144865635,0.5931136030000062,,,354,0,0,
WFC-as-SAT,context,18,True,False,False,0.2510867859709153,0.41685474066853323,3.319586619000006,0.24237799999999998,4,364,4,0,
ordinary WFC,frequency,19,True,False,False,0.20668070156625126,1.6158152167147612,0.6557815239999911,,,384,0,0,
WFC-as-SAT,frequency,19,True,False,False,0.19822340342989073,1.5712928359975558,4.295386764999989,1.2376719999999999,773,2458,787,14,
ordinary WFC,context,19,True,False,False,1.947437690491871,2.1956959179313293,0.7030583510000099,,,380,0,0,
WFC-as-SAT,context,19,True,False,False,2.070920137299962,2.3448871319394393,3.2995929819999787,0.25630299999999995,1,379,1,0,
ordinary WFC,frequency,20,True,False,False,0.17128594756066656,1.7108106577188804,0.6489812740000218,,,377,0,0,
WFC-as-SAT,frequency,20,True,False,False,0.15806602700292663,1.7896934691701218,3.3119735289999994,0.2754220000000003,209,598,209,0,
ordinary WFC,context,20,True,False,False,0.5029420732798641,0.6635401796264944,0.6017960360000245,,,349,0,0,
WFC-as-SAT,context,20,True,False,False,0.5803025334888412,0.7553327151477909,3.3311853639999924,0.24238599999999977,1,369,1,0,
ordinary WFC,frequency,21,True,False,False,0.19937002132372122,1.5835623688725702,0.6675071390000085,,,383,0,0,
WFC-as-SAT,frequency,21,True,False,False,0.17690018474159008,1.779750103374541,3.2826692909999906,0.2494620000000003,158,545,158,0,
ordinary WFC,context,21,True,False,False,0.3497300899440481,0.4993641903743304,0.616427539,,,362,0,0,
WFC-as-SAT,context,21,True,False,False,0.6556707740292256,0.9410703379686137,3.2738489259999994,0.24695899999999993,2,378,2,0,
ordinary WFC,frequency,22,True,False,False,0.1562322584792455,1.6618965611199894,0.6523293649999857,,,374,0,0,
WFC-as-SAT,frequency,22,True,False,False,0.17002072531321413,1.6531028765133844,3.362776127000018,0.3087110000000002,233,657,234,1,
ordinary WFC,context,22,True,False,False,0.4694499043685013,0.7476421270544209,0.6292821059999767,,,340,0,0,
WFC-as-SAT,context,22,True,False,False,0.39861484376532286,0.6820532466641536,3.3032367299999805,0.27353799999999984,64,417,64,0,
ordinary WFC,frequency,23,True,False,False,0.18467271510744937,1.5840709023678137,0.6509368350000102,,,380,0,0,
WFC-as-SAT,frequency,23,True,False,False,0.2087546025675803,1.5735753101903698,3.4302569660000017,0.4100379999999997,277,898,278,1,
ordinary WFC,context,23,True,False,False,0.3454465291107214,0.5162780836317344,0.6380596279999793,,,347,0,0,
WFC-as-SAT,context,23,True,False,False,0.36796440722273116,0.5375911586591415,3.2802742769999895,0.2462559999999998,15,378,15,0,
ordinary WFC,frequency,24,True,False,False,0.1728127069325289,1.7271549025667574,0.6508872089999898,,,381,0,0,
WFC-as-SAT,frequency,24,True,False,False,0.1782071613659719,1.6996636704107722,3.298761154999994,0.2673350000000001,194,585,194,0,
ordinary WFC,context,24,True,False,False,0.6572152875471081,0.8794030225813587,0.598360409999998,,,317,0,0,
WFC-as-SAT,context,24,True,False,False,2.8213522356101275,2.9001377505923744,3.3552707810000015,0.24296400000000018,12,340,12,0,
ordinary WFC,frequency,25,True,False,False,0.19609505455246226,1.7401801653471005,0.665740937999999,,,388,0,0,
WFC-as-SAT,frequency,25,True,False,False,0.19722326088165532,1.7554178066459059,3.410149222000001,0.3889520000000002,297,841,298,1,
ordinary WFC,context,25,True,False,False,0.41035725772334497,0.572212562532935,0.5678995799999882,,,337,0,0,
WFC-as-SAT,context,25,True,False,False,0.29872820030321845,0.4790545407186422,3.2750445880000143,0.23260199999999998,2,344,2,0,
ordinary WFC,frequency,26,True,False,False,0.1666588826138535,1.6866481696751086,0.6562585479999825,,,384,0,0,
WFC-as-SAT,frequency,26,True,False,False,0.17575144394182418,1.6519562875874625,3.3009291649999852,0.2648980000000001,209,593,209,0,
ordinary WFC,context,26,True,False,False,0.36026178055646163,0.5423841343813549,0.5894251530000076,,,330,0,0,
WFC-as-SAT,context,26,True,False,False,0.32773863922781454,0.45076516387054366,3.283755654999993,0.2443080000000002,1,371,1,0,
ordinary WFC,frequency,27,True,False,False,0.19693943630800428,1.5140038461710876,0.6787456649999797,,,382,0,0,
WFC-as-SAT,frequency,27,True,False,False,0.14829077140829403,1.6115840287740213,3.6059185820000152,0.537128,344,997,347,3,
